"These hex codes can be used in csv/xlsx files and markup files.  Append a ';' at the end of the hex code in your data. Ex:  ""Show me the &#x0024;&#x0024;&@#x0021;"" ==> ""Show me the $$!""",,
key,hex,name
&#x2167,&#x2167,roman numeral eight
&#x2168,&#x2168,roman numeral nine
&#x2169,&#x2169,roman numeral ten
&#x216a,&#x216A,roman numeral eleven
&#x216b,&#x216B,roman numeral twelve
&#x216c,&#x216C,roman numeral fifty
&#x216d,&#x216D,roman numeral one hundred
&#x216e,&#x216E,roman numeral five hundred
&#x216f,&#x216F,roman numeral one thousand
&#x2170,&#x2170,small roman numeral one
&#x2171,&#x2171,small roman numeral two
&#x2172,&#x2172,small roman numeral three
&#x2173,&#x2173,small roman numeral four
&#x2174,&#x2174,small roman numeral five
&#x2175,&#x2175,small roman numeral six
&#x2176,&#x2176,small roman numeral seven
&#x2177,&#x2177,small roman numeral eight
&#x2178,&#x2178,small roman numeral nine
&#x2179,&#x2179,small roman numeral ten
&#x217a,&#x217A,small roman numeral eleven
&#x217b,&#x217B,small roman numeral twelve
&#x217c,&#x217C,small roman numeral fifty
&#x217d,&#x217D,small roman numeral one hundred
&#x217e,&#x217E,small roman numeral five hundred
&#x217f,&#x217F,small roman numeral one thousand
&#x2184,&#x2184,latin small letter reversed c
&#x2190,&#x2190,leftwards arrow
&#x2191,&#x2191,upwards arrow
&#x2192,&#x2192,rightwards arrow
&#x2193,&#x2193,downwards arrow
&#x2194,&#x2194,left right arrow
&#x2195,&#x2195,up down arrow
&#x2196,&#x2196,north west arrow
&#x2197,&#x2197,north east arrow
&#x2198,&#x2198,south east arrow
&#x2199,&#x2199,south west arrow
&#x219a,&#x219A,leftwards arrow with stroke
&#x219b,&#x219B,rightwards arrow with stroke
&#x219c,&#x219C,leftwards wave arrow
&#x219d,&#x219D,rightwards wave arrow
&#x219e,&#x219E,leftwards two headed arrow
&#x219f,&#x219F,upwards two headed arrow
&#x21a0,&#x21A0,rightwards two headed arrow
&#x21a1,&#x21A1,downwards two headed arrow
&#x21a2,&#x21A2,leftwards arrow with tail
&#x21a3,&#x21A3,rightwards arrow with tail
&#x21a4,&#x21A4,leftwards arrow from bar
&#x21a5,&#x21A5,upwards arrow from bar
&#x21a6,&#x21A6,rightwards arrow from bar
&#x21a7,&#x21A7,downwards arrow from bar
&#x21a8,&#x21A8,up down arrow with base
&#x21a9,&#x21A9,leftwards arrow with hook
&#x21aa,&#x21AA,rightwards arrow with hook
&#x21ab,&#x21AB,leftwards arrow with loop
&#x21ac,&#x21AC,rightwards arrow with loop
&#x21ad,&#x21AD,left right wave arrow
&#x21ae,&#x21AE,left right arrow with stroke
&#x21af,&#x21AF,downwards zigzag arrow
&#x21b0,&#x21B0,upwards arrow with tip leftwards
&#x21b1,&#x21B1,upwards arrow with tip rightwards
&#x21b2,&#x21B2,downwards arrow with tip leftwards
&#x21b3,&#x21B3,downwards arrow with tip rightwards
&#x21b4,&#x21B4,rightwards arrow with corner downwards
&#x21b5,&#x21B5,downwards arrow with corner leftwards
&#x21b6,&#x21B6,anticlockwise top semicircle arrow
&#x21b7,&#x21B7,clockwise top semicircle arrow
&#x21b8,&#x21B8,north west arrow to long bar
&#x21b9,&#x21B9,leftwards arrow to bar over rightwards arrow to bar
&#x21ba,&#x21BA,anticlockwise open circle arrow
&#x21bb,&#x21BB,clockwise open circle arrow
&#x21bc,&#x21BC,leftwards harpoon with barb upwards
&#x21bd,&#x21BD,leftwards harpoon with barb downwards
&#x21be,&#x21BE,upwards harpoon with barb rightwards
&#x21bf,&#x21BF,upwards harpoon with barb leftwards
&#x21c0,&#x21C0,rightwards harpoon with barb upwards
&#x21c1,&#x21C1,rightwards harpoon with barb downwards
&#x21c2,&#x21C2,downwards harpoon with barb rightwards
&#x21c3,&#x21C3,downwards harpoon with barb leftwards
&#x21c4,&#x21C4,rightwards arrow over leftwards arrow
&#x21c5,&#x21C5,upwards arrow leftwards of downwards arrow
&#x21c6,&#x21C6,leftwards arrow over rightwards arrow
&#x21c7,&#x21C7,leftwards paired arrows
&#x21c8,&#x21C8,upwards paired arrows
&#x21c9,&#x21C9,rightwards paired arrows
&#x21ca,&#x21CA,downwards paired arrows
&#x21cb,&#x21CB,leftwards harpoon over rightwards harpoon
&#x21cc,&#x21CC,rightwards harpoon over leftwards harpoon
&#x21cd,&#x21CD,leftwards double arrow with stroke
&#x21ce,&#x21CE,left right double arrow with stroke
&#x21cf,&#x21CF,rightwards double arrow with stroke
&#x21d0,&#x21D0,leftwards double arrow
&#x21d1,&#x21D1,upwards double arrow
&#x21d2,&#x21D2,rightwards double arrow
&#x21d3,&#x21D3,downwards double arrow
&#x21d4,&#x21D4,left right double arrow
&#x21d5,&#x21D5,up down double arrow
&#x21d6,&#x21D6,north west double arrow
&#x21d7,&#x21D7,north east double arrow
&#x21d8,&#x21D8,south east double arrow
&#x21d9,&#x21D9,south west double arrow
&#x21da,&#x21DA,leftwards triple arrow
&#x21db,&#x21DB,rightwards triple arrow
&#x21dc,&#x21DC,leftwards squiggle arrow
&#x21dd,&#x21DD,rightwards squiggle arrow
&#x21de,&#x21DE,upwards arrow with double stroke
&#x21df,&#x21DF,downwards arrow with double stroke
&#x21e0,&#x21E0,leftwards dashed arrow
&#x21e1,&#x21E1,upwards dashed arrow
&#x21e2,&#x21E2,rightwards dashed arrow
&#x21e3,&#x21E3,downwards dashed arrow
&#x21e4,&#x21E4,leftwards arrow to bar
&#x21e5,&#x21E5,rightwards arrow to bar
&#x21e6,&#x21E6,leftwards white arrow
&#x21e7,&#x21E7,upwards white arrow
&#x21e8,&#x21E8,rightwards white arrow
&#x21e9,&#x21E9,downwards white arrow
&#x21ea,&#x21EA,upwards white arrow from bar
&#x21eb,&#x21EB,upwards white arrow on pedestal
&#x21ec,&#x21EC,upwards white arrow on pedestal with horizontal bar
&#x21ed,&#x21ED,upwards white arrow on pedestal with vertical bar
&#x21ee,&#x21EE,upwards white double arrow
&#x21ef,&#x21EF,upwards white double arrow on pedestal
&#x21f0,&#x21F0,rightwards white arrow from wall
&#x21f1,&#x21F1,north west arrow to corner
&#x21f2,&#x21F2,south east arrow to corner
&#x21f3,&#x21F3,up down white arrow
&#x21f4,&#x21F4,right arrow with small circle
&#x21f5,&#x21F5,downwards arrow leftwards of upwards arrow
&#x21f6,&#x21F6,three rightwards arrows
&#x21f7,&#x21F7,leftwards arrow with vertical stroke
&#x21f8,&#x21F8,rightwards arrow with vertical stroke
&#x21f9,&#x21F9,left right arrow with vertical stroke
&#x21fa,&#x21FA,leftwards arrow with double vertical stroke
&#x21fb,&#x21FB,rightwards arrow with double vertical stroke
&#x21fc,&#x21FC,left right arrow with double vertical stroke
&#x21fd,&#x21FD,leftwards open-headed arrow
&#x21fe,&#x21FE,rightwards open-headed arrow
&#x21ff,&#x21FF,left right open-headed arrow
&#x2200,&#x2200,for all
&#x2201,&#x2201,complement
&#x2202,&#x2202,partial differential
&#x2203,&#x2203,there exists
&#x2204,&#x2204,there does not exist
&#x2205,&#x2205,empty set
&#x2206,&#x2206,increment
&#x2207,&#x2207,nabla
&#x2208,&#x2208,element of
&#x2209,&#x2209,not an element of
&#x220a,&#x220A,small element of
&#x220b,&#x220B,contains as member
&#x220c,&#x220C,does not contain as member
&#x220d,&#x220D,small contains as member
&#x220e,&#x220E,end of proof
&#x220f,&#x220F,n-ary product
&#x2210,&#x2210,n-ary coproduct
&#x2211,&#x2211,n-ary summation
&#x2212,&#x2212,minus sign
&#x2213,&#x2213,minus-or-plus sign
&#x2214,&#x2214,dot plus
&#x2215,&#x2215,division slash
&#x2216,&#x2216,set minus
&#x2217,&#x2217,asterisk operator
&#x2218,&#x2218,ring operator
&#x2219,&#x2219,bullet operator
&#x221a,&#x221A,square root
&#x221b,&#x221B,cube root
&#x221c,&#x221C,fourth root
&#x221d,&#x221D,proportional to
&#x221e,&#x221E,infinity
&#x221f,&#x221F,right angle
&#x2220,&#x2220,angle
&#x2221,&#x2221,measured angle
&#x2222,&#x2222,spherical angle
&#x2223,&#x2223,divides
&#x2224,&#x2224,does not divide
&#x2225,&#x2225,parallel to
&#x2226,&#x2226,not parallel to
&#x2227,&#x2227,logical and
&#x2228,&#x2228,logical or
&#x2229,&#x2229,intersection
&#x222a,&#x222A,union
&#x222b,&#x222B,integral
&#x222c,&#x222C,double integral
&#x222d,&#x222D,triple integral
&#x222e,&#x222E,contour integral
&#x222f,&#x222F,surface integral
&#x2230,&#x2230,volume integral
&#x2231,&#x2231,clockwise integral
&#x2232,&#x2232,clockwise contour integral
&#x2233,&#x2233,anticlockwise contour integral
&#x2234,&#x2234,therefore (freemason symbol - three dots - 3 points symbol). this 3 dos can also be &there4; in html.
&#x2235,&#x2235,because
&#x2236,&#x2236,ratio
&#x2237,&#x2237,proportion
&#x2238,&#x2238,dot minus
&#x2239,&#x2239,excess
&#x223a,&#x223A,geometric proportion
&#x223b,&#x223B,homothetic
&#x223c,&#x223C,tilde operator
&#x223d,&#x223D,reversed tilde
&#x223e,&#x223E,inverted lazy s
&#x223f,&#x223F,sine wave
&#x2240,&#x2240,wreath product
&#x2241,&#x2241,not tilde
&#x2242,&#x2242,minus tilde
&#x2243,&#x2243,asymptotically equal to
&#x2244,&#x2244,not asymptotically equal to
&#x2245,&#x2245,approximately equal to
&#x2246,&#x2246,approximately but not actually equal to
&#x2247,&#x2247,neither approximately nor actually equal to
&#x2248,&#x2248,almost equal to
&#x2249,&#x2249,not almost equal to
&#x224a,&#x224A,almost equal or equal to
&#x224b,&#x224B,triple tilde
&#x224c,&#x224C,all equal to
&#x224d,&#x224D,equivalent to
&#x224e,&#x224E,geometrically equivalent to
&#x224f,&#x224F,difference between
&#x2250,&#x2250,approaches the limit
&#x2251,&#x2251,geometrically equal to
&#x2252,&#x2252,approximately equal to or the image of
&#x2253,&#x2253,image of or approximately equal to
&#x2254,&#x2254,colon equals
&#x2255,&#x2255,equals colon
&#x2256,&#x2256,ring in equal to
&#x2257,&#x2257,ring equal to
&#x2258,&#x2258,corresponds to
&#x2259,&#x2259,estimates
&#x225a,&#x225A,equiangular to
&#x225b,&#x225B,star equals
&#x225c,&#x225C,delta equal to
&#x225d,&#x225D,equal to by definition
&#x225e,&#x225E,measured by
&#x225f,&#x225F,questioned equal to
&#x2260,&#x2260,not equal to
&#x2261,&#x2261,identical to
&#x2262,&#x2262,not identical to
&#x2263,&#x2263,strictly equivalent to
&#x2264,&#x2264,less-than or equal to
&#x2265,&#x2265,greater-than or equal to
&#x2266,&#x2266,less-than over equal to
&#x2267,&#x2267,greater-than over equal to
&#x2268,&#x2268,less-than but not equal to
&#x2269,&#x2269,greater-than but not equal to
&#x226a,&#x226A,much less-than
&#x226b,&#x226B,much greater-than
&#x226c,&#x226C,between
&#x226d,&#x226D,not equivalent to
&#x226e,&#x226E,not less-than
&#x226f,&#x226F,not greater-than
&#x2270,&#x2270,neither less-than nor equal to
&#x2271,&#x2271,neither greater-than nor equal to
&#x2272,&#x2272,less-than or equivalent to
&#x2273,&#x2273,greater-than or equivalent to
&#x2274,&#x2274,neither less-than nor equivalent to
&#x2275,&#x2275,neither greater-than nor equivalent to
&#x2276,&#x2276,less-than or greater-than
&#x2277,&#x2277,greater-than or less-than
&#x2278,&#x2278,neither less-than nor greater-than
&#x2279,&#x2279,neither greater-than nor less-than
&#x227a,&#x227A,precedes
&#x227b,&#x227B,succeeds
&#x227c,&#x227C,precedes or equal to
&#x227d,&#x227D,succeeds or equal to
&#x227e,&#x227E,precedes or equivalent to
&#x227f,&#x227F,succeeds or equivalent to
&#x2280,&#x2280,does not precede
&#x2281,&#x2281,does not succeed
&#x2282,&#x2282,subset of
&#x2283,&#x2283,superset of
&#x2284,&#x2284,not a subset of
&#x2285,&#x2285,not a superset of
&#x2286,&#x2286,subset of or equal to
&#x2287,&#x2287,superset of or equal to
&#x2288,&#x2288,neither a subset of nor equal to
&#x2289,&#x2289,neither a superset of nor equal to
&#x228a,&#x228A,subset of with not equal to
&#x228b,&#x228B,superset of with not equal to
&#x228c,&#x228C,multiset
&#x228d,&#x228D,multiset multiplication
&#x228e,&#x228E,multiset union
&#x228f,&#x228F,square image of
&#x2290,&#x2290,square original of
&#x2291,&#x2291,square image of or equal to
&#x2292,&#x2292,square original of or equal to
&#x2293,&#x2293,square cap
&#x2294,&#x2294,square cup
&#x2295,&#x2295,circled plus
&#x2296,&#x2296,circled minus
&#x2297,&#x2297,circled times
&#x2298,&#x2298,circled division slash
&#x2299,&#x2299,circled dot operator
&#x229a,&#x229A,circled ring operator
&#x229b,&#x229B,circled asterisk operator
&#x229c,&#x229C,circled equals
&#x229d,&#x229D,circled dash
&#x229e,&#x229E,squared plus
&#x229f,&#x229F,squared minus
&#x22a0,&#x22A0,squared times
&#x22a1,&#x22A1,squared dot operator
&#x22a2,&#x22A2,right tack
&#x22a3,&#x22A3,left tack
&#x22a4,&#x22A4,down tack
&#x22a5,&#x22A5,up tack
&#x22a6,&#x22A6,assertion
&#x22a7,&#x22A7,models
&#x22a8,&#x22A8,TRUE
&#x22a9,&#x22A9,forces
&#x22aa,&#x22AA,triple vertical bar right turnstile
&#x22ab,&#x22AB,double vertical bar double right turnstile
&#x22ac,&#x22AC,does not prove
&#x22ad,&#x22AD,not true
&#x22ae,&#x22AE,does not force
&#x22af,&#x22AF,negated double vertical bar double right turnstile
&#x22b0,&#x22B0,precedes under relation
&#x22b1,&#x22B1,succeeds under relation
&#x22b2,&#x22B2,normal subgroup of
&#x22b3,&#x22B3,contains as normal subgroup
&#x22b4,&#x22B4,normal subgroup of or equal to
&#x22b5,&#x22B5,contains as normal subgroup or equal to
&#x22b6,&#x22B6,original of
&#x22b7,&#x22B7,image of
&#x22b8,&#x22B8,multimap
&#x22b9,&#x22B9,hermitian conjugate matrix
&#x22ba,&#x22BA,intercalate
&#x22bb,&#x22BB,xor
&#x22bc,&#x22BC,nand
&#x22bd,&#x22BD,nor
&#x22be,&#x22BE,right angle with arc
&#x22bf,&#x22BF,right triangle
&#x22c0,&#x22C0,n-ary logical and
&#x22c1,&#x22C1,n-ary logical or
&#x22c2,&#x22C2,n-ary intersection
&#x22c3,&#x22C3,n-ary union
&#x22c4,&#x22C4,diamond operator
&#x22c5,&#x22C5,dot operator
&#x22c6,&#x22C6,star operator
&#x22c7,&#x22C7,division times
&#x22c8,&#x22C8,bowtie
&#x22c9,&#x22C9,left normal factor semidirect product
&#x22ca,&#x22CA,right normal factor semidirect product
&#x22cb,&#x22CB,left semidirect product
&#x22cc,&#x22CC,right semidirect product
&#x22cd,&#x22CD,reversed tilde equals
&#x22ce,&#x22CE,curly logical or
&#x22cf,&#x22CF,curly logical and
&#x22d0,&#x22D0,double subset
&#x22d1,&#x22D1,double superset
&#x22d2,&#x22D2,double intersection
&#x22d3,&#x22D3,double union
&#x22d4,&#x22D4,pitchfork
&#x22d5,&#x22D5,equal and parallel to
&#x22d6,&#x22D6,less-than with dot
&#x22d7,&#x22D7,greater-than with dot
&#x22d8,&#x22D8,very much less-than
&#x22d9,&#x22D9,very much greater-than
&#x22da,&#x22DA,less-than equal to or greater-than
&#x22db,&#x22DB,greater-than equal to or less-than
&#x22dc,&#x22DC,equal to or less-than
&#x22dd,&#x22DD,equal to or greater-than
&#x22de,&#x22DE,equal to or precedes
&#x22df,&#x22DF,equal to or succeeds
&#x22e0,&#x22E0,does not precede or equal
&#x22e1,&#x22E1,does not succeed or equal
&#x22e2,&#x22E2,not square image of or equal to
&#x22e3,&#x22E3,not square original of or equal to
&#x22e4,&#x22E4,square image of or not equal to
&#x22e5,&#x22E5,square original of or not equal to
&#x22e6,&#x22E6,less-than but not equivalent to
&#x22e7,&#x22E7,greater-than but not equivalent to
&#x22e8,&#x22E8,precedes but not equivalent to
&#x22e9,&#x22E9,succeeds but not equivalent to
&#x22ea,&#x22EA,not normal subgroup of
&#x22eb,&#x22EB,does not contain as normal subgroup
&#x22ec,&#x22EC,not normal subgroup of or equal to
&#x22ed,&#x22ED,does not contain as normal subgroup or equal
&#x22ee,&#x22EE,vertical ellipsis
&#x22ef,&#x22EF,midline horizontal ellipsis
&#x22f0,&#x22F0,up right diagonal ellipsis
&#x22f1,&#x22F1,down right diagonal ellipsis
&#x2300,&#x2300,diameter sign
&#x2301,&#x2301,electric arrow
&#x2302,&#x2302,house
&#x2303,&#x2303,up arrowhead
&#x2304,&#x2304,down arrowhead
&#x2305,&#x2305,projective
&#x2306,&#x2306,perspective
&#x2307,&#x2307,wavy line
&#x2308,&#x2308,left ceiling
&#x2309,&#x2309,right ceiling
&#x230a,&#x230A,left floor
&#x230b,&#x230B,right floor
&#x2310,&#x2310,reversed not sign
&#x2311,&#x2311,square lozenge
&#x2312,&#x2312,arc
&#x2313,&#x2313,segment
&#x2314,&#x2314,sector
&#x2315,&#x2315,telephone recorder
&#x2316,&#x2316,position indicator
&#x2317,&#x2317,viewdata square
&#x2318,&#x2318,place of interest sign
&#x2319,&#x2319,turned not sign
&#x231a,&#x231A,watch
&#x231b,&#x231B,hourglass
&#x2320,&#x2320,top half integral
&#x2321,&#x2321,bottom half integral
&#x2322,&#x2322,frown
&#x2323,&#x2323,smile
&#x2324,&#x2324,up arrowhead between two horizontal bars
&#x2325,&#x2325,option key
&#x2326,&#x2326,erase to the right
&#x2327,&#x2327,x in a rectangle box
&#x2328,&#x2328,keyboard
&#x232b,&#x232B,erase to the left
&#x232c,&#x232C,benzene ring
&#x239b,&#x239B,left parenthesis upper hook
&#x239c,&#x239C,left parenthesis extension
&#x239d,&#x239D,left parenthesis lower hook
&#x239e,&#x239E,right parenthesis upper hook
&#x239f,&#x239F,right parenthesis extension
&#x23a0,&#x23A0,right parenthesis lower hook
&#x23a1,&#x23A1,left square bracket upper corner
&#x23a2,&#x23A2,left square bracket extension
&#x23a3,&#x23A3,left square bracket lower corner
&#x23a4,&#x23A4,right square bracket upper corner
&#x23a5,&#x23A5,right square bracket extension
&#x23a6,&#x23A6,right square bracket lower corner
&#x23a7,&#x23A7,left curly bracket upper hook
&#x23a8,&#x23A8,left curly bracket middle piece
&#x23a9,&#x23A9,left curly bracket lower hook
&#x23aa,&#x23AA,curly bracket extension
&#x23ab,&#x23AB,right curly bracket upper hook
&#x23ac,&#x23AC,right curly bracket middle piece
&#x23ad,&#x23AD,right curly bracket lower hook
&#x23ce,&#x23CE,return symbol
&#x23cf,&#x23CF,eject symbol
&#x23da,&#x23DA,earth ground
&#x23db,&#x23DB,fuse
&#x23f0,&#x23F0,alarm clock
&#x23f1,&#x23F1,stopwatch
&#x23f2,&#x23F2,timer clock
&#x23f3,&#x23F3,hourglass with flowing sand
&#x2422,&#x2422,blank symbol
&#x2423,&#x2423,open box
&#x2500,&#x2500,box drawings light horizontal
&#x2501,&#x2501,box drawings heavy horizontal
&#x2502,&#x2502,box drawings light vertical
&#x2503,&#x2503,box drawings heavy vertical
&#x2504,&#x2504,box drawings light triple dash horizontal
&#x2505,&#x2505,box drawings heavy triple dash horizontal
&#x2506,&#x2506,box drawings light triple dash vertical
&#x2507,&#x2507,box drawings heavy triple dash vertical
&#x2508,&#x2508,box drawings light quadruple dash horizontal
&#x2509,&#x2509,box drawings heavy quadruple dash horizontal
&#x250a,&#x250A,box drawings light quadruple dash vertical
&#x250b,&#x250B,box drawings heavy quadruple dash vertical
&#x250c,&#x250C,box drawings light down and right
&#x250d,&#x250D,box drawings down light and right heavy
&#x250e,&#x250E,box drawings down heavy and right light
&#x250f,&#x250F,box drawings heavy down and right
&#x2510,&#x2510,box drawings light down and left
&#x2511,&#x2511,box drawings down light and left heavy
&#x2512,&#x2512,box drawings down heavy and left light
&#x2513,&#x2513,box drawings heavy down and left
&#x2514,&#x2514,box drawings light up and right
&#x2515,&#x2515,box drawings up light and right heavy
&#x2516,&#x2516,box drawings up heavy and right light
&#x2517,&#x2517,box drawings heavy up and right
&#x2518,&#x2518,box drawings light up and left
&#x2519,&#x2519,box drawings up light and left heavy
&#x251a,&#x251A,box drawings up heavy and left light
&#x251b,&#x251B,box drawings heavy up and left
&#x251c,&#x251C,box drawings light vertical and right
&#x251d,&#x251D,box drawings vertical light and right heavy
&#x251e,&#x251E,box drawings up heavy and right down light
&#x251f,&#x251F,box drawings down heavy and right up light
&#x2520,&#x2520,box drawings vertical heavy and right light
&#x2521,&#x2521,box drawings down light and right up heavy
&#x2522,&#x2522,box drawings up light and right down heavy
&#x2523,&#x2523,box drawings heavy vertical and right
&#x2524,&#x2524,box drawings light vertical and left
&#x2525,&#x2525,box drawings vertical light and left heavy
&#x2526,&#x2526,box drawings up heavy and left down light
&#x2527,&#x2527,box drawings down heavy and left up light
&#x2528,&#x2528,box drawings vertical heavy and left light
&#x2529,&#x2529,box drawings down light and left up heavy
&#x252a,&#x252A,box drawings up light and left down heavy
&#x252b,&#x252B,box drawings heavy vertical and left
&#x252c,&#x252C,box drawings light down and horizontal
&#x252d,&#x252D,box drawings left heavy and right down light
&#x252e,&#x252E,box drawings right heavy and left down light
&#x252f,&#x252F,box drawings down light and horizontal heavy
&#x2530,&#x2530,box drawings down heavy and horizontal light
&#x2531,&#x2531,box drawings right light and left down heavy
&#x2532,&#x2532,box drawings left light and right down heavy
&#x2533,&#x2533,box drawings heavy down and horizontal
&#x2534,&#x2534,box drawings light up and horizontal
&#x2535,&#x2535,box drawings left heavy and right up light
&#x2536,&#x2536,box drawings right heavy and left up light
&#x2537,&#x2537,box drawings up light and horizontal heavy
&#x2538,&#x2538,box drawings up heavy and horizontal light
&#x2539,&#x2539,box drawings right light and left up heavy
&#x253a,&#x253A,box drawings left light and right up heavy
&#x253b,&#x253B,box drawings heavy up and horizontal
&#x253c,&#x253C,box drawings light vertical and horizontal
&#x253d,&#x253D,box drawings left heavy and right vertical light
&#x253e,&#x253E,box drawings right heavy and left vertical light
&#x253f,&#x253F,box drawings vertical light and horizontal heavy
&#x2540,&#x2540,box drawings up heavy and down horizontal light
&#x2541,&#x2541,box drawings down heavy and up horizontal light
&#x2542,&#x2542,box drawings vertical heavy and horizontal light
&#x2543,&#x2543,box drawings left up heavy and right down light
&#x2544,&#x2544,box drawings right up heavy and left down light
&#x2545,&#x2545,box drawings left down heavy and right up light
&#x2546,&#x2546,box drawings right down heavy and left up light
&#x2547,&#x2547,box drawings down light and up horizontal heavy
&#x2548,&#x2548,box drawings up light and down horizontal heavy
&#x2549,&#x2549,box drawings right light and left vertical heavy
&#x254a,&#x254A,box drawings left light and right vertical heavy
&#x254b,&#x254B,box drawings heavy vertical and horizontal
&#x254c,&#x254C,box drawings light double dash horizontal
&#x254d,&#x254D,box drawings heavy double dash horizontal
&#x254e,&#x254E,box drawings light double dash vertical
&#x254f,&#x254F,box drawings heavy double dash vertical
&#x2550,&#x2550,box drawings double horizontal
&#x2551,&#x2551,box drawings double vertical
&#x2552,&#x2552,box drawings down single and right double
&#x2553,&#x2553,box drawings down double and right single
&#x2554,&#x2554,box drawings double down and right
&#x2555,&#x2555,box drawings down single and left double
&#x2556,&#x2556,box drawings down double and left single
&#x2557,&#x2557,box drawings double down and left
&#x2558,&#x2558,box drawings up single and right double
&#x2559,&#x2559,box drawings up double and right single
&#x255a,&#x255A,box drawings double up and right
&#x255b,&#x255B,box drawings up single and left double
&#x255c,&#x255C,box drawings up double and left single
&#x255d,&#x255D,box drawings double up and left
&#x255e,&#x255E,box drawings vertical single and right double
&#x255f,&#x255F,box drawings vertical double and right single
&#x2560,&#x2560,box drawings double vertical and right
&#x2561,&#x2561,box drawings vertical single and left double
&#x2562,&#x2562,box drawings vertical double and left single
&#x2563,&#x2563,box drawings double vertical and left
&#x2564,&#x2564,box drawings down single and horizontal double
&#x2565,&#x2565,box drawings down double and horizontal single
&#x2566,&#x2566,box drawings double down and horizontal
&#x2567,&#x2567,box drawings up single and horizontal double
&#x2568,&#x2568,box drawings up double and horizontal single
&#x2569,&#x2569,box drawings double up and horizontal
&#x256a,&#x256A,box drawings vertical single and horizontal double
&#x256b,&#x256B,box drawings vertical double and horizontal single
&#x256c,&#x256C,box drawings double vertical and horizontal
&#x256d,&#x256D,box drawings light arc down and right
&#x256e,&#x256E,box drawings light arc down and left
&#x256f,&#x256F,box drawings light arc up and left
&#x2570,&#x2570,box drawings light arc up and right
&#x2571,&#x2571,box drawings light diagonal upper right to lower left
&#x2572,&#x2572,box drawings light diagonal upper left to lower right
&#x2573,&#x2573,box drawings light diagonal cross
&#x2574,&#x2574,box drawings light left
&#x2575,&#x2575,box drawings light up
&#x2576,&#x2576,box drawings light right
&#x2577,&#x2577,box drawings light down
&#x2578,&#x2578,box drawings heavy left
&#x2579,&#x2579,box drawings heavy up
&#x257a,&#x257A,box drawings heavy right
&#x257b,&#x257B,box drawings heavy down
&#x257c,&#x257C,box drawings light left and heavy right
&#x257d,&#x257D,box drawings light up and heavy down
&#x257e,&#x257E,box drawings heavy left and light right
&#x257f,&#x257F,box drawings heavy up and light down
&#x2580,&#x2580,upper half block
&#x2581,&#x2581,lower one eighth block
&#x2582,&#x2582,lower one quarter block
&#x2583,&#x2583,lower three eighths block
&#x2584,&#x2584,lower half block
&#x2585,&#x2585,lower five eighths block
&#x2586,&#x2586,lower three quarters block
&#x2587,&#x2587,lower seven eighths block
&#x2588,&#x2588,full block
&#x2589,&#x2589,left seven eighths block
&#x258a,&#x258A,left three quarters block
&#x258b,&#x258B,left five eighths block
&#x258c,&#x258C,left half block
&#x258d,&#x258D,left three eighths block
&#x258e,&#x258E,left one quarter block
&#x258f,&#x258F,left one eighth block
&#x2590,&#x2590,right half block
&#x2591,&#x2591,light shade
&#x2592,&#x2592,medium shade
&#x2593,&#x2593,dark shade
&#x2594,&#x2594,upper one eighth block
&#x2595,&#x2595,right one eighth block
&#x2596,&#x2596,quadrant lower left
&#x2597,&#x2597,quadrant lower right
&#x2598,&#x2598,quadrant upper left
&#x2599,&#x2599,quadrant upper left and lower left and lower right
&#x259a,&#x259A,quadrant upper left and lower right
&#x259b,&#x259B,quadrant upper left and upper right and lower left
&#x259c,&#x259C,quadrant upper left and upper right and lower right
&#x259d,&#x259D,quadrant upper right
&#x259e,&#x259E,quadrant upper right and lower left
&#x259f,&#x259F,quadrant upper right and lower left and lower right
&#x25a0,&#x25A0,black square
&#x25a1,&#x25A1,white square
&#x25a2,&#x25A2,white square with rounded corners
&#x25a3,&#x25A3,white square containing black small square
&#x25a4,&#x25A4,square with horizontal fill
&#x25a5,&#x25A5,square with vertical fill
&#x25a6,&#x25A6,square with orthogonal crosshatch fill
&#x25a7,&#x25A7,square with upper left to lower right fill
&#x25a8,&#x25A8,square with upper right to lower left fill
&#x25a9,&#x25A9,square with diagonal crosshatch fill
&#x25aa,&#x25AA,black small square
&#x25ab,&#x25AB,white small square
&#x25ac,&#x25AC,black rectangle
&#x25ad,&#x25AD,white rectangle
&#x25ae,&#x25AE,black vertical rectangle
&#x25af,&#x25AF,white vertical rectangle
&#x25b0,&#x25B0,black parallelogram
&#x25b1,&#x25B1,white parallelogram
&#x25b2,&#x25B2,black up-pointing triangle
&#x25b3,&#x25B3,white up-pointing triangle
&#x25b4,&#x25B4,black up-pointing small triangle
&#x25b5,&#x25B5,white up-pointing small triangle
&#x25b6,&#x25B6,black right-pointing triangle
&#x25b7,&#x25B7,white right-pointing triangle
&#x25b8,&#x25B8,black right-pointing small triangle
&#x25b9,&#x25B9,white right-pointing small triangle
&#x25ba,&#x25BA,black right-pointing pointer
&#x25bb,&#x25BB,white right-pointing pointer
&#x25bc,&#x25BC,black down-pointing triangle
&#x25bd,&#x25BD,white down-pointing triangle
&#x25be,&#x25BE,black down-pointing small triangle
&#x25bf,&#x25BF,white down-pointing small triangle
&#x25c0,&#x25C0,black left-pointing triangle
&#x25c1,&#x25C1,white left-pointing triangle
